parallel 24 1 1 1 (10 times)
time: 531ms, throughput: 31.59551035781544 M/s
time: 537ms, throughput: 31.24248789571694 M/s
time: 300ms, throughput: 55.92405333333333 M/s
time: 532ms, throughput: 31.536120300751875 M/s
time: 538ms, throughput: 31.18441635687732 M/s
time: 532ms, throughput: 31.536120300751875 M/s
time: 616ms, throughput: 27.235740259740258 M/s
parallel 24 3 2 1 (10 times)
time: 214ms, throughput: 78.39820560747664 M/s
time: 273ms, throughput: 61.45500366300366 M/s
time: 297ms, throughput: 56.48894276094276 M/s
time: 273ms, throughput: 61.45500366300366 M/s
time: 315ms, throughput: 53.261003174603175 M/s
time: 346ms, throughput: 48.48906358381503 M/s
time: 305ms, throughput: 55.00726557377049 M/s
time: 280ms, throughput: 59.91862857142856 M/s
time: 324ms, throughput: 51.78153086419753 M/s
time: 275ms, throughput: 61.00805818181817 M/s
parallel 24 3 4 1 (10 times)
time: 232ms, throughput: 72.31558620689654 M/s
time: 226ms, throughput: 74.23546902654867 M/s
time: 216ms, throughput: 77.6722962962963 M/s
time: 150ms, throughput: 111.84810666666667 M/s
time: 156ms, throughput: 107.5462564102564 M/s
time: 164ms, throughput: 102.3000975609756 M/s
time: 217ms, throughput: 77.3143594470046 M/s
time: 150ms, throughput: 111.84810666666667 M/s
time: 228ms, throughput: 73.58428070175438 M/s
time: 221ms, throughput: 75.91500452488687 M/s
parallel 24 3 8 1 (10 times)
time: 202ms, throughput: 83.05552475247524 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 204ms, throughput: 82.24125490196079 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 203ms, throughput: 82.64638423645319 M/s
time: 95ms, throughput: 176.60227368421053 M/s
time: 205ms, throughput: 81.84007804878048 M/s
time: 201ms, throughput: 83.46873631840795 M/s
time: 95ms, throughput: 176.60227368421053 M/s
parallel 24 3 16 1 (10 times)
time: 90ms, throughput: 186.41351111111112 M/s
time: 200ms, throughput: 83.88607999999999 M/s
time: 83ms, throughput: 202.13513253012047 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 193ms, throughput: 86.92858031088082 M/s
time: 88ms, throughput: 190.6501818181818 M/s
time: 187ms, throughput: 89.71773262032085 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 88ms, throughput: 190.6501818181818 M/s
time: 88ms, throughput: 190.6501818181818 M/s
parallel 24 3 32 1 (10 times)
time: 89ms, throughput: 188.50804494382024 M/s
time: 184ms, throughput: 91.18052173913043 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 186ms, throughput: 90.20008602150537 M/s
time: 185ms, throughput: 90.68765405405405 M/s
time: 83ms, throughput: 202.13513253012047 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 179ms, throughput: 93.72746368715083 M/s
time: 185ms, throughput: 90.68765405405405 M/s
time: 90ms, throughput: 186.41351111111112 M/s
parallel 24 4 1 1 (10 times)
time: 559ms, throughput: 30.01290876565295 M/s
time: 557ms, throughput: 30.1206750448833 M/s
time: 568ms, throughput: 29.537352112676057 M/s
time: 563ms, throughput: 29.799673179396095 M/s
time: 533ms, throughput: 31.4769530956848 M/s
time: 557ms, throughput: 30.1206750448833 M/s
time: 567ms, throughput: 29.589446208112875 M/s
time: 380ms, throughput: 44.15056842105263 M/s
time: 561ms, throughput: 29.90591087344028 M/s
time: 557ms, throughput: 30.1206750448833 M/s
parallel 24 4 2 1 (10 times)
time: 326ms, throughput: 51.463852760736195 M/s
time: 292ms, throughput: 57.45621917808219 M/s
time: 293ms, throughput: 57.2601228668942 M/s
time: 322ms, throughput: 52.1031552795031 M/s
time: 328ms, throughput: 51.1500487804878 M/s
time: 294ms, throughput: 57.06536054421769 M/s
time: 326ms, throughput: 51.463852760736195 M/s
time: 325ms, throughput: 51.62220307692307 M/s
time: 291ms, throughput: 57.653663230240554 M/s
time: 326ms, throughput: 51.463852760736195 M/s
parallel 24 4 4 1 (10 times)
time: 168ms, throughput: 99.86438095238094 M/s
time: 228ms, throughput: 73.58428070175438 M/s
time: 238ms, throughput: 70.49250420168067 M/s
time: 237ms, throughput: 70.78994092827004 M/s
time: 223ms, throughput: 75.2341524663677 M/s
time: 233ms, throughput: 72.00521888412017 M/s
time: 155ms, throughput: 108.24010322580645 M/s
time: 129ms, throughput: 130.05593798449613 M/s
time: 183ms, throughput: 91.67877595628416 M/s
time: 222ms, throughput: 75.57304504504503 M/s
parallel 24 4 8 1 (10 times)
time: 210ms, throughput: 79.89150476190476 M/s
time: 208ms, throughput: 80.65969230769231 M/s
time: 207ms, throughput: 81.04935265700483 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 96ms, throughput: 174.76266666666666 M/s
time: 86ms, throughput: 195.0839069767442 M/s
time: 224ms, throughput: 74.8982857142857 M/s
time: 98ms, throughput: 171.19608163265303 M/s
time: 213ms, throughput: 78.76627230046948 M/s
parallel 24 4 16 1 (10 times)
time: 138ms, throughput: 121.57402898550723 M/s
time: 194ms, throughput: 86.48049484536082 M/s
time: 88ms, throughput: 190.6501818181818 M/s
time: 193ms, throughput: 86.92858031088082 M/s
time: 191ms, throughput: 87.83882722513088 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 88ms, throughput: 190.6501818181818 M/s
time: 91ms, throughput: 184.36501098901098 M/s
time: 145ms, throughput: 115.70493793103448 M/s
time: 90ms, throughput: 186.41351111111112 M/s
parallel 24 4 32 1 (10 times)
time: 188ms, throughput: 89.24051063829786 M/s
time: 181ms, throughput: 92.69180110497237 M/s
time: 89ms, throughput: 188.50804494382024 M/s
time: 186ms, throughput: 90.20008602150537 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 90ms, throughput: 186.41351111111112 M/s
time: 84ms, throughput: 199.72876190476188 M/s
time: 193ms, throughput: 86.92858031088082 M/s
parallel 24 5 1 1 (10 times)
time: 603ms, throughput: 27.822912106135988 M/s
time: 612ms, throughput: 27.413751633986926 M/s
time: 404ms, throughput: 41.52776237623762 M/s
time: 611ms, throughput: 27.458618657937805 M/s
time: 603ms, throughput: 27.822912106135988 M/s
time: 616ms, throughput: 27.235740259740258 M/s
time: 605ms, throughput: 27.73093553719008 M/s
time: 609ms, throughput: 27.5487947454844 M/s
time: 604ms, throughput: 27.776847682119204 M/s
time: 611ms, throughput: 27.458618657937805 M/s
parallel 24 5 2 1 (10 times)
time: 282ms, throughput: 59.49367375886525 M/s
time: 285ms, throughput: 58.86742456140351 M/s
